ID,LanguageName,Language,Latitude,Longitude,Family,Concept,Segments,ConceptB,SegmentsB,Colexification
2200,"Standard Albanian",alba1267,41.33,19.85,Indo-European,SOUR,"θ a ɾ t ə",SWEET,"ɛ m b ə l",0
2313,Aleut,aleu1260,52.12,-174.29,Eskimo-Aleut,BITTER,"tʃ i t χ e n y l i x",SOUR,"ŋ a l ɑ χ s i x",0
2314,Aleut,aleu1260,52.12,-174.29,Eskimo-Aleut,BITTER,"tʃ i t χ e n y l i x",SWEET,"i d i g a l i x",0
2315,Aleut,aleu1260,52.12,-174.29,Eskimo-Aleut,SOUR,"ŋ a l ɑ χ s i x",SWEET,"i d i g a l i x",0
901,Alsea,alse1251,44.408,-123.94,,BITTER,"q ɕ iː ʔ q ɕ oː u t",SALTY,"q a ʔ l oː ɕ",0
902,Alsea,alse1251,44.408,-123.94,,BITTER,"q ɕ iː ʔ q ɕ oː u t",SOUR,"q ɕ iː ʔ q ɕ oː u t",1
903,Alsea,alse1251,44.408,-123.94,,SALTY,"q a ʔ l oː ɕ",SOUR,"q ɕ iː ʔ q ɕ oː u t",0
2687,Alo,aluo1235,25.937203,102.1064952,Sino-Tibetan,BITTER,"kʰ ɒ ³³",SALTY,"kʰ ɒ ³³",1
2688,Alo,aluo1235,25.937203,102.1064952,Sino-Tibetan,BITTER,"kʰ ɒ ³³",SOUR,"ʈʂ e ³³",0
2689,Alo,aluo1235,25.937203,102.1064952,Sino-Tibetan,BITTER,"kʰ ɒ ³³",SWEET,"ʈʂʰ i ³³",0
2690,Alo,aluo1235,25.937203,102.1064952,Sino-Tibetan,SALTY,"kʰ ɒ ³³",SOUR,"ʈʂ e ³³",0
2691,Alo,aluo1235,25.937203,102.1064952,Sino-Tibetan,SALTY,"kʰ ɒ ³³",SWEET,"ʈʂʰ i ³³",0
2686,Alo,aluo1235,25.937203,102.1064952,Sino-Tibetan,SOUR,"ʈʂ e ³³",SWEET,"ʈʂʰ i ³³",0
904,Amarakaeri,amar1274,-12.4931,-70.5533,Harakmbut,BITTER,"p a i ʔ n d a",SALTY,"t a ʔ s i j",0
905,Amarakaeri,amar1274,-12.4931,-70.5533,Harakmbut,BITTER,"p a i ʔ n d a",SOUR,"p a i ʔ n d a",1
906,Amarakaeri,amar1274,-12.4931,-70.5533,Harakmbut,BITTER,"p a i ʔ n d a",SWEET,"s e t",0
907,Amarakaeri,amar1274,-12.4931,-70.5533,Harakmbut,SALTY,"t a ʔ s i j",SOUR,"p a i ʔ n d a",0
908,Amarakaeri,amar1274,-12.4931,-70.5533,Harakmbut,SALTY,"t a ʔ s i j",SWEET,"s e t",0
909,Amarakaeri,amar1274,-12.4931,-70.5533,Harakmbut,SOUR,"p a i ʔ n d a",SWEET,"s e t",0
910,Ambulas,ambu1247,-3.7801,143.059,Ndu,BITTER,"ɲ ɨ g i + j a",SALTY,"a p i + k u s",0
911,Ambulas,ambu1247,-3.7801,143.059,Ndu,BITTER,"ɲ ɨ g i + j a",SOUR,"k a w u l ɨ k",0
912,Ambulas,ambu1247,-3.7801,143.059,Ndu,BITTER,"ɲ ɨ g i + j a",SWEET,"l i s ɨ k",0
913,Ambulas,ambu1247,-3.7801,143.059,Ndu,SALTY,"a p i + k u s",SOUR,"k a w u l ɨ k",0
914,Ambulas,ambu1247,-3.7801,143.059,Ndu,SALTY,"a p i + k u s",SWEET,"l i s ɨ k",0
915,Ambulas,ambu1247,-3.7801,143.059,Ndu,SOUR,"k a w u l ɨ k",SWEET,"l i s ɨ k",0
530,Amonda,amun1246,-9.04023,-62.3064,Tupian,SOUR,"a j a h i β",SWEET,"e ʔ ẽ",0
1973,"Angami Kohima",anga1288,25.55,94.1333,Sino-Tibetan,BITTER,"k e pf ə",SOUR,"k e k i e",0
1974,"Angami Kohima",anga1288,25.55,94.1333,Sino-Tibetan,BITTER,"k e pf ə",SWEET,"k e m o u",0
1975,"Angami Kohima",anga1288,25.55,94.1333,Sino-Tibetan,SOUR,"k e k i e",SWEET,"k e m o u",0
190,Tangnian,anya1244,25.58369,107.801479,Tai-Kadai,BITTER,"q a m ¹",SALTY,"n a ŋ ¹",0
191,Tangnian,anya1244,25.58369,107.801479,Tai-Kadai,BITTER,"q a m ¹",SOUR,"h u m ¹",0
192,Tangnian,anya1244,25.58369,107.801479,Tai-Kadai,BITTER,"q a m ¹",SWEET,"l j ə n ¹",0
193,Tangnian,anya1244,25.58369,107.801479,Tai-Kadai,SALTY,"n a ŋ ¹",SOUR,"h u m ¹",0
194,Tangnian,anya1244,25.58369,107.801479,Tai-Kadai,SALTY,"n a ŋ ¹",SWEET,"l j ə n ¹",0
189,Tangnian,anya1244,25.58369,107.801479,Tai-Kadai,SOUR,"h u m ¹",SWEET,"l j ə n ¹",0
1961,"Ao Chungli",aona1235,26.3167,94.5167,Sino-Tibetan,BITTER,"t a + k u",SOUR,"t a + s e n",0
1962,"Ao Chungli",aona1235,26.3167,94.5167,Sino-Tibetan,BITTER,"t a + k u",SWEET,"t a + n a ŋ",0
1963,"Ao Chungli",aona1235,26.3167,94.5167,Sino-Tibetan,SOUR,"t a + s e n",SWEET,"t a + n a ŋ",0
916,Arabela,arab1268,-1.96126,-75.0612,Zaparoan,BITTER,"p iː k w i a",SALTY,"ʃ o n i",0
917,Arabela,arab1268,-1.96126,-75.0612,Zaparoan,BITTER,"p iː k w i a",SOUR,"j̃ e ɾ eː k a",0
918,Arabela,arab1268,-1.96126,-75.0612,Zaparoan,BITTER,"p iː k w i a",SWEET,"ʃ o k w eː k a",0
919,Arabela,arab1268,-1.96126,-75.0612,Zaparoan,SALTY,"ʃ o n i",SOUR,"j̃ e ɾ eː k a",0
920,Arabela,arab1268,-1.96126,-75.0612,Zaparoan,SALTY,"ʃ o n i",SWEET,"ʃ o k w eː k a",0
921,Arabela,arab1268,-1.96126,-75.0612,Zaparoan,SOUR,"j̃ e ɾ eː k a",SWEET,"ʃ o k w eː k a",0
922,Arapaho,arap1274,43.3879,-108.81,Algic,BITTER,"s ɛ n ɪː s n ɔː k ʊ tʃ ɔː ʔ",SALTY,"n ɪː tʃ ɔː ʔ ɔ w tʃ ɔː",0
923,Arapaho,arap1274,43.3879,-108.81,Algic,BITTER,"s ɛ n ɪː s n ɔː k ʊ tʃ ɔː ʔ",SOUR,"s ɪː s ɪ n tʃ ɔː",0
924,Arapaho,arap1274,43.3879,-108.81,Algic,BITTER,"s ɛ n ɪː s n ɔː k ʊ tʃ ɔː ʔ",SWEET,"n ɪ s ɪ s tʃ ɔː",0
925,Arapaho,arap1274,43.3879,-108.81,Algic,SALTY,"n ɪː tʃ ɔː ʔ ɔ w tʃ ɔː",SOUR,"s ɪː s ɪ n tʃ ɔː",0
926,Arapaho,arap1274,43.3879,-108.81,Algic,SALTY,"n ɪː tʃ ɔː ʔ ɔ w tʃ ɔː",SWEET,"n ɪ s ɪ s tʃ ɔː",0
927,Arapaho,arap1274,43.3879,-108.81,Algic,SOUR,"s ɪː s ɪ n tʃ ɔː",SWEET,"n ɪ s ɪ s tʃ ɔː",0
535,"Araweté",araw1273,-4.90246,-52.5001,Tupian,SOUR,"h a",SWEET,"h e w u",0
2568,Archi,arch1244,42.0,46.8333,Nakh-Daghestanian,BITTER,"tsʼ e kʼ d u t",SALTY,"o r χˤ i l i n n u t",0
2569,Archi,arch1244,42.0,46.8333,Nakh-Daghestanian,BITTER,"tsʼ e kʼ d u t",SOUR,"qʼ i tʃʼ i tː u t",0
2570,Archi,arch1244,42.0,46.8333,Nakh-Daghestanian,BITTER,"tsʼ e kʼ d u t",SWEET,"iː z u t",0
2566,Archi,arch1244,42.0,46.8333,Nakh-Daghestanian,SALTY,"o r χˤ i l i n n u t",SOUR,"qʼ i tʃʼ i tː u t",0
2567,Archi,arch1244,42.0,46.8333,Nakh-Daghestanian,SALTY,"o r χˤ i l i n n u t",SWEET,"iː z u t",0
2571,Archi,arch1244,42.0,46.8333,Nakh-Daghestanian,SOUR,"qʼ i tʃʼ i tː u t",SWEET,"iː z u t",0
370,"Asho (Kokan Tan)",asho1236,19.85,94.0,Sino-Tibetan,BITTER,"kʰ o",SOUR,"tʰ o",0
371,"Asho (Kokan Tan)",asho1236,19.85,94.0,Sino-Tibetan,BITTER,"kʰ o",SWEET,"t w i",0
372,"Asho (Kokan Tan)",asho1236,19.85,94.0,Sino-Tibetan,SOUR,"tʰ o",SWEET,"t w i",0
928,Atakapa,atak1252,30.9121,-93.0827,,BITTER,"a ŋ p a ts",SALTY,"n e",0
929,Atakapa,atak1252,30.9121,-93.0827,,BITTER,"a ŋ p a ts",SOUR,"a ŋ p a ts",1
930,Atakapa,atak1252,30.9121,-93.0827,,BITTER,"a ŋ p a ts",SWEET,"oː l",0
931,Atakapa,atak1252,30.9121,-93.0827,,SALTY,"n e",SOUR,"a ŋ p a ts",0
932,Atakapa,atak1252,30.9121,-93.0827,,SALTY,"n e",SWEET,"oː l",0
933,Atakapa,atak1252,30.9121,-93.0827,,SOUR,"a ŋ p a ts",SWEET,"oː l",0
2323,Avar,avar1256,41.7,46.56,Nakh-Daghestanian,BITTER,"tɬʼ o ʕ a b",SOUR,"tsʼ j e kʼ a b",0
2324,Avar,avar1256,41.7,46.56,Nakh-Daghestanian,BITTER,"tɬʼ o ʕ a b",SWEET,"h u i n a b",0
2325,Avar,avar1256,41.7,46.56,Nakh-Daghestanian,SOUR,"tsʼ j e kʼ a b",SWEET,"h u i n a b",0
2498,"Yi (Mile)",axiy1235,27.16,105.61,Sino-Tibetan,BITTER,"kʰ a ²¹",SALTY,"kʰ a ²¹",1
2499,"Yi (Mile)",axiy1235,27.16,105.61,Sino-Tibetan,BITTER,"kʰ a ²¹",SOUR,"tɕ i ³³",0
2500,"Yi (Mile)",axiy1235,27.16,105.61,Sino-Tibetan,BITTER,"kʰ a ²¹",SWEET,"ʈʂʰ i ³³",0
2501,"Yi (Mile)",axiy1235,27.16,105.61,Sino-Tibetan,SALTY,"kʰ a ²¹",SOUR,"tɕ i ³³",0
2502,"Yi (Mile)",axiy1235,27.16,105.61,Sino-Tibetan,SALTY,"kʰ a ²¹",SWEET,"ʈʂʰ i ³³",0
2497,"Yi (Mile)",axiy1235,27.16,105.61,Sino-Tibetan,SOUR,"tɕ i ³³",SWEET,"ʈʂʰ i ³³",0
940,Ayoreo,ayor1240,-19.220055,-60.217495,Zamucoan,BITTER,"i ɾ i ŋ o i",SALTY,"i ɾ i ŋ o i",1
941,Ayoreo,ayor1240,-19.220055,-60.217495,Zamucoan,BITTER,"i ɾ i ŋ o i",SOUR,"tʃ oː ɾ i tʃ u i",0
942,Ayoreo,ayor1240,-19.220055,-60.217495,Zamucoan,BITTER,"i ɾ i ŋ o i",SWEET,"u n e ɾ e + tʃ a ɾ o ɾ e + t i",0
943,Ayoreo,ayor1240,-19.220055,-60.217495,Zamucoan,SALTY,"i ɾ i ŋ o i",SOUR,"tʃ oː ɾ i tʃ u i",0
944,Ayoreo,ayor1240,-19.220055,-60.217495,Zamucoan,SALTY,"i ɾ i ŋ o i",SWEET,"u n e ɾ e + tʃ a ɾ o ɾ e + t i",0
945,Ayoreo,ayor1240,-19.220055,-60.217495,Zamucoan,SOUR,"tʃ oː ɾ i tʃ u i",SWEET,"u n e ɾ e + tʃ a ɾ o ɾ e + t i",0
2756,Azha,azha1235,23.54166649,104.1861823,Sino-Tibetan,BITTER,"kʰ ɔ ²²",SALTY,"kʰ ɔ ²²",1
2757,Azha,azha1235,23.54166649,104.1861823,Sino-Tibetan,BITTER,"kʰ ɔ ²²",SOUR,"tɕ i ⁴⁴",0
2758,Azha,azha1235,23.54166649,104.1861823,Sino-Tibetan,BITTER,"kʰ ɔ ²²",SWEET,"tɕʰ y ²¹",0
2759,Azha,azha1235,23.54166649,104.1861823,Sino-Tibetan,SALTY,"kʰ ɔ ²²",SOUR,"tɕ i ⁴⁴",0
2760,Azha,azha1235,23.54166649,104.1861823,Sino-Tibetan,SALTY,"kʰ ɔ ²²",SWEET,"tɕʰ y ²¹",0
2755,Azha,azha1235,23.54166649,104.1861823,Sino-Tibetan,SOUR,"tɕ i ⁴⁴",SWEET,"tɕʰ y ²¹",0
2747,Azhe,azhe1235,24.32964102,103.119097,Sino-Tibetan,BITTER,"kʰ o ²¹",SOUR,"tɕ ɪ ³³",0
2748,Azhe,azhe1235,24.32964102,103.119097,Sino-Tibetan,BITTER,"kʰ o ²¹",SWEET,"ʈʂʰ u ²²",0
2746,Azhe,azhe1235,24.32964102,103.119097,Sino-Tibetan,SOUR,"tɕ ɪ ³³",SWEET,"ʈʂʰ u ²²",0
1748,Bacama,baca1246,9.53072,12.0416,Afro-Asiatic,BITTER,"k w a t ɪ j k w a t ɪ j",SOUR,"g ɓ a j ɪ j g ɓ a n j ɪ j",0
1749,Bacama,baca1246,9.53072,12.0416,Afro-Asiatic,BITTER,"k w a t ɪ j k w a t ɪ j",SWEET,"p u l p u l",0
1747,Bacama,baca1246,9.53072,12.0416,Afro-Asiatic,SOUR,"g ɓ a j ɪ j g ɓ a n j ɪ j",SWEET,"p u l p u l",0
1751,Bade,bade1248,12.789,10.6557,Afro-Asiatic,BITTER,"lˠ ə r a",SOUR,"c a p c a p a",0
1752,Bade,bade1248,12.789,10.6557,Afro-Asiatic,BITTER,"lˠ ə r a",SWEET,"d a b d a ɓ a",0
1750,Bade,bade1248,12.789,10.6557,Afro-Asiatic,SOUR,"c a p c a p a",SWEET,"d a b d a ɓ a",0
2441,BahnarPleiku,bahn1262,14.0476,108.471,Austroasiatic,BITTER,"t a ŋ",SOUR,"ʔ ɲ u ʔ",0
2442,BahnarPleiku,bahn1262,14.0476,108.471,Austroasiatic,BITTER,"t a ŋ",SWEET,"ʔ ŋ aː m",0
2443,BahnarPleiku,bahn1262,14.0476,108.471,Austroasiatic,BITTER,"h aː r",SOUR,"ʔ ɲ u ʔ",0
2444,BahnarPleiku,bahn1262,14.0476,108.471,Austroasiatic,BITTER,"h aː r",SWEET,"ʔ ŋ aː m",0
2445,BahnarPleiku,bahn1262,14.0476,108.471,Austroasiatic,SOUR,"ʔ ɲ u ʔ",SWEET,"ʔ ŋ aː m",0
946,Bambassi,bamb1262,9.82554,34.6522,"Blue Nile Mao",BITTER,"k aː kʼ a",SALTY,"b e tʼ",0
947,Bambassi,bamb1262,9.82554,34.6522,"Blue Nile Mao",BITTER,"k aː kʼ a",SOUR,"tsʼ oː kʼ a",0
948,Bambassi,bamb1262,9.82554,34.6522,"Blue Nile Mao",BITTER,"k aː kʼ a",SWEET,"m a ŋ kʼ",0
949,Bambassi,bamb1262,9.82554,34.6522,"Blue Nile Mao",SALTY,"b e tʼ",SOUR,"tsʼ oː kʼ a",0
950,Bambassi,bamb1262,9.82554,34.6522,"Blue Nile Mao",SALTY,"b e tʼ",SWEET,"m a ŋ kʼ",0
951,Bambassi,bamb1262,9.82554,34.6522,"Blue Nile Mao",SOUR,"tsʼ oː kʼ a",SWEET,"m a ŋ kʼ",0
952,Bamu,bamu1257,-7.93818,143.545,Kiwaian,BITTER,"k ɑ ɾ ɑ k ɑ ɾ ɑ",SALTY,"d ɑ m e n ɑ",0
953,Bamu,bamu1257,-7.93818,143.545,Kiwaian,BITTER,"k ɑ ɾ ɑ k ɑ ɾ ɑ",SWEET,"m i p o",0
954,Bamu,bamu1257,-7.93818,143.545,Kiwaian,SALTY,"d ɑ m e n ɑ",SWEET,"m i p o",0
1793,"Fali Gili",bana1305,10.3535,13.6131,Afro-Asiatic,BITTER,"ʔ j a x w a k e",SOUR,"n d a l a k o",0
1794,"Fali Gili",bana1305,10.3535,13.6131,Afro-Asiatic,BITTER,"ʔ j a x w a k e",SWEET,"n ʒ ɨ m ʒ ɨ m",0
1792,"Fali Gili",bana1305,10.3535,13.6131,Afro-Asiatic,SOUR,"n d a l a k o",SWEET,"n ʒ ɨ m ʒ ɨ m",0
832,Bangime,bang1363,14.8,-3.76,,BITTER,"d ɛː r u",SWEET,"d e j",0
833,"Bankan Tey Dogon",bank1259,15.06,-2.92,Dogon,BITTER,"g a r u m",SALTY,"n ɛ m",0
834,"Bankan Tey Dogon",bank1259,15.06,-2.92,Dogon,BITTER,"g a r u m",SOUR,"p a r u m",0
835,"Bankan Tey Dogon",bank1259,15.06,-2.92,Dogon,BITTER,"g a r u m",SWEET,"ɛ r u m",0
836,"Bankan Tey Dogon",bank1259,15.06,-2.92,Dogon,SALTY,"n ɛ m",SOUR,"p a r u m",0
837,"Bankan Tey Dogon",bank1259,15.06,-2.92,Dogon,SALTY,"n ɛ m",SWEET,"ɛ r u m",0
838,"Bankan Tey Dogon",bank1259,15.06,-2.92,Dogon,SOUR,"p a r u m",SWEET,"ɛ r u m",0
955,Baruya,baru1267,-6.89261,145.818,Angan,BITTER,"k a j aː k u ɽ j a",SOUR,"j ə ɽ ə k a",0
956,Baruya,baru1267,-6.89261,145.818,Angan,BITTER,"k a j aː k u ɽ j a",SWEET,"w a m b u ɽ j a",0
957,Baruya,baru1267,-6.89261,145.818,Angan,SOUR,"j ə ɽ ə k a",SWEET,"w a m b u ɽ j a",0
2257,Bashkir,bash1264,53.6,56.56,Turkic,BITTER,"æ s e",SOUR,"æ s e",1
2258,Bashkir,bash1264,53.6,56.56,Turkic,BITTER,"æ s e",SWEET,"t j a m l e",0
2259,Bashkir,bash1264,53.6,56.56,Turkic,BITTER,"æ s e",SWEET,"t æ m t o m",0
2260,Bashkir,bash1264,53.6,56.56,Turkic,SOUR,"æ s e",SWEET,"t j a m l e",0
2261,Bashkir,bash1264,53.6,56.56,Turkic,SOUR,"æ s e",SWEET,"t æ m t o m",0
958,Basque,basq1248,43.28,-1.32,,BITTER,"k a ɾ m i n",SOUR,"m i n g o tɕ",0
959,Basque,basq1248,43.28,-1.32,,BITTER,"k a ɾ m i n",SWEET,"g o ʃ o",0
960,Basque,basq1248,43.28,-1.32,,BITTER,"g a r a ts",SOUR,"m i n g o tɕ",0
961,Basque,basq1248,43.28,-1.32,,BITTER,"g a r a ts",SWEET,"g o ʃ o",0
962,Basque,basq1248,43.28,-1.32,,SOUR,"m i n g o tɕ",SWEET,"g o ʃ o",0
1890,Mwulyen,bata1314,9.68091,12.677,Afro-Asiatic,BITTER,"k w a t ə t ə t",SOUR,"ɓ a ŋ r a n",0
1891,Mwulyen,bata1314,9.68091,12.677,Afro-Asiatic,BITTER,"k w a t ə t ə t",SWEET,"m b ɪ l m b ɪ l",0
1889,Mwulyen,bata1314,9.68091,12.677,Afro-Asiatic,SOUR,"ɓ a ŋ r a n",SWEET,"m b ɪ l m b ɪ l",0
2216,Belarusian,bela1254,53.23,25.6,Indo-European,BITTER,"ɣ ɔ r k i",SOUR,"k i s l ɨ",0
2217,Belarusian,bela1254,53.23,25.6,Indo-European,BITTER,"ɣ ɔ r k i",SWEET,"s a l ɔ d k i",0
2218,Belarusian,bela1254,53.23,25.6,Indo-European,SOUR,"k i s l ɨ",SWEET,"s a l ɔ d k i",0
2173,Bengali,beng1280,24.0,90.0,Indo-European,BITTER,"t̪ i k t̪ o",SOUR,"ʈ ɔ k",0
2174,Bengali,beng1280,24.0,90.0,Indo-European,BITTER,"t̪ i k t̪ o",SWEET,"m i ʃ ʈ o",0
2175,Bengali,beng1280,24.0,90.0,Indo-European,SOUR,"ʈ ɔ k",SWEET,"m i ʃ ʈ o",0
839,Ben_Tey,bent1238,14.85,-2.95,Dogon,BITTER,"g a r i + m",SWEET,"ɛ r i + m",0
963,Berik,beri1254,-2.26904,138.866,Tor-Orya,BITTER,"s i r a",SALTY,"f i n i b e r e",0
964,Berik,beri1254,-2.26904,138.866,Tor-Orya,BITTER,"s i r a",SOUR,"s i r a",1
965,Berik,beri1254,-2.26904,138.866,Tor-Orya,BITTER,"s i r a",SWEET,"a b a b a l a",0
966,Berik,beri1254,-2.26904,138.866,Tor-Orya,SALTY,"f i n i b e r e",SOUR,"s i r a",0
